WardCode,Population_2011,Population_2012,Population_2013,Population_2014,Population_2015,Population_2016,Population_2017,Population_2018,Population_2019,Population_2020,Population_2021,Population_2022,Square_Kilometres_2011,Square_Kilometres_2012,Square_Kilometres_2013,Square_Kilometres_2014,Square_Kilometres_2015,Square_Kilometres_2016,Square_Kilometres_2017,Square_Kilometres_2018,Square_Kilometres_2019,Square_Kilometres_2020,Square_Kilometres_2021,Square_Kilometres_2022,Population_per_square_kilometre_2011,Population_per_square_kilometre_2012,Population_per_square_kilometre_2013,Population_per_square_kilometre_2014,Population_per_square_kilometre_2015,Population_per_square_kilometre_2016,Population_per_square_kilometre_2017,Population_per_square_kilometre_2018,Population_per_square_kilometre_2019,Population_per_square_kilometre_2020,Population_per_square_kilometre_2021,Population_per_square_kilometre_2022
E05000133,11977,12205,12469,12703,12989,13375,13547,13717,13873,13935,14016,14085,1.533,1.533,1.533,1.533,1.533,1.533,1.533,1.533,1.533,1.533,1.533,1.533,7812.785388,7961.513372,8133.724723,8286.366601,8472.928898,8724.722766,8836.92107,8947.814742,9049.575995,9090.019569,9142.857143,9187.866928
E05000134,11257,11496,11697,11887,12185,12411,12583,12799,12979,13001,13029,13041,0.691,0.691,0.691,0.691,0.691,0.691,0.691,0.691,0.691,0.691,0.691,0.691,16290.88278,16636.75832,16927.6411,17202.60492,17633.86397,17960.92619,18209.84081,18522.43126,18782.9233,18814.76122,18855.2822,18872.64834
E05000135,11284,11569,11806,12003,12237,12410,12374,12408,12441,12448,12453,12451,2.45,2.45,2.45,2.45,2.45,2.45,2.45,2.45,2.45,2.45,2.45,2.45,4605.714286,4722.040816,4818.77551,4899.1836730000005,4994.693878,5065.306122,5050.612245,5064.489796,5077.959184,5080.816327,5082.857143,5082.040816
E05000136,12355,12591,12903,13266,13727,14000,14065,14131,14196,14179,14190,14229,0.732,0.732,0.732,0.732,0.732,0.732,0.732,0.732,0.732,0.732,0.732,0.732,16878.4153,17200.81967,17627.04918,18122.95082,18752.73224,19125.68306,19214.48087,19304.64481,19393.44262,19370.21858,19385.2459,19438.52459
E05000137,10956,11254,11414,11545,11872,11960,11988,12081,12156,12089,12080,12016,3.242,3.242,3.242,3.242,3.242,3.242,3.242,3.242,3.242,3.242,3.242,3.242,3379.395435,3471.314004,3520.666255,3561.073411,3661.937076,3689.080814,3697.717458,3726.403455,3749.537323,3728.871067,3726.095003,3706.354102
E05000138,13012,13286,13519,13804,14207,14455,14650,14804,14982,15171,15374,15544,1.201,1.201,1.201,1.201,1.201,1.201,1.201,1.201,1.201,1.201,1.201,1.201,10834.30475,11062.44796,11256.45296,11493.7552,11829.30891,12035.8035,12198.16819,12326.39467,12474.6045,12631.97336,12800.99917,12942.54788
E05000139,13409,13699,13920,14204,14572,14879,15002,15112,15221,15464,15727,15993,1.028,1.028,1.028,1.028,1.028,1.028,1.028,1.028,1.028,1.028,1.028,1.028,13043.77432,13325.87549,13540.85603,13817.12062,14175.09728,14473.73541,14593.38521,14700.38911,14806.42023,15042.80156,15298.63813,15557.393
E05000140,12042,12475,12768,13036,13354,13576,13711,13857,14012,14099,14155,14205,0.686,0.686,0.686,0.686,0.686,0.686,0.686,0.686,0.686,0.686,0.686,0.686,17553.93586,18185.1312,18612.2449,19002.91545,19466.4723,19790.08746,19986.88047,20199.70845,20425.65598,20552.47813,20634.11079,20706.99708
E05000141,11761,11764,11843,12086,12428,12565,12888,13072,13251,13293,13321,13335,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,19280.32787,19285.2459,19414.7541,19813.11475,20373.77049,20598.36066,21127.86885,21429.5082,21722.95082,21791.80328,21837.70492,21860.65574
E05000142,13491,13795,13942,14463,14800,15211,15385,15458,15517,15491,15448,15422,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,9993.333333,10218.51852,10327.40741,10713.33333,10962.96296,11267.40741,11396.2963,11450.37037,11494.07407,11474.81481,11442.96296,11423.7037
E05000143,13789,14260,15030,15659,16155,17062,17620,18109,18522,19246,19967,20658,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,9849.285714,10185.71429,10735.71429,11185,11539.28571,12187.14286,12585.71429,12935,13230,13747.14286,14262.14286,14755.71429
E05000144,12904,13242,13612,13963,14271,14595,14808,14984,15182,15213,15219,15238,1.257,1.257,1.257,1.257,1.257,1.257,1.257,1.257,1.257,1.257,1.257,1.257,10265.71201,10534.60621,10828.95784,11108.19411,11353.22196,11610.97852,11780.42959,11920.44551,12077.9634,12102.6253,12107.39857,12122.51392
E05000145,12065,12353,12590,12824,13160,13447,13682,13918,14128,14346,14548,14739,0.887,0.887,0.887,0.887,0.887,0.887,0.887,0.887,0.887,0.887,0.887,0.887,13602.02931,13926.71928,14193.91206,14457.72266,14836.52762,15160.09019,15425.02818,15691.093570000001,15927.84667,16173.61894,16401.35287,16616.68546
E05000146,16948,17052,17155,17228,17343,17321,17674,18096,18535,18607,18666,18701,1.595,1.595,1.595,1.595,1.595,1.595,1.595,1.595,1.595,1.595,1.595,1.595,10625.70533,10690.90909,10755.48589,10801.25392,10873.35423,10859.56113,11080.87774,11345.45455,11620.68966,11665.83072,11702.82132,11724.76489
E05000147,14780,14847,14841,14761,14657,14570,14551,14558,14589,14619,14604,14611,2.714,2.714,2.714,2.714,2.714,2.714,2.714,2.714,2.714,2.714,2.714,2.714,5445.836404,5470.523213,5468.312454,5438.835667,5400.515844,5368.459838,5361.459101,5364.03832,5375.460575,5386.51437,5380.987472,5383.566691
E05000148,16259,16446,16642,16774,16838,16858,17001,17150,17300,17397,17483,17534,1.446,1.446,1.446,1.446,1.446,1.446,1.446,1.446,1.446,1.446,1.446,1.446,11244.12172,11373.44398,11508.99032,11600.27663,11644.53665,11658.36791,11757.26141,11860.30429,11964.03873,12031.12033,12090.59474,12125.86445
E05000149,18721,18932,19417,19978,20641,20980,21214,21494,21795,22404,22979,23519,2.667,2.667,2.667,2.667,2.667,2.667,2.667,2.667,2.667,2.667,2.667,2.667,7019.497563,7098.612673,7280.464942,7490.813648,7739.407574,7866.516685,7954.255718,8059.242595,8172.103487,8400.449944,8616.047994,8818.522685
E05000150,12299,12334,12491,12513,12504,12481,12500,12548,12604,12595,12597,12583,7.743,7.743,7.743,7.743,7.743,7.743,7.743,7.743,7.743,7.743,7.743,7.743,1588.402428,1592.92264,1613.199018,1616.040294,1614.877954,1611.907529,1614.361359,1620.560506,1627.792845,1626.630505,1626.888803,1625.080718
E05000151,13502,13674,13786,13928,14332,14690,14998,15375,15748,16182,16579,16969,4.995,4.995,4.995,4.995,4.995,4.995,4.995,4.995,4.995,4.995,4.995,4.995,2703.103103,2737.537538,2759.95996,2788.388388,2869.269269,2940.940941,3002.602603,3078.078078,3152.752753,3239.63964,3319.119119,3397.197197
E05000152,15856,16140,16358,16585,16723,16801,16933,17133,17321,17374,17382,17382,3.523,3.523,3.523,3.523,3.523,3.523,3.523,3.523,3.523,3.523,3.523,3.523,4500.709622,4581.322736,4643.201817,4707.635538,4746.806699,4768.94692,4806.414987,4863.184786,4916.548396,4931.592393,4933.863185,4933.863185
E05000153,16636,17048,17446,18554,19323,20637,22205,23885,25620,27463,29238,30959,3.765,3.765,3.765,3.765,3.765,3.765,3.765,3.765,3.765,3.765,3.765,3.765,4418.592297,4528.021248,4633.73174,4928.021248,5132.270916,5481.2749,5897.742364,6343.957503,6804.780876,7294.289509,7765.737052,8222.841965
E05000154,11522,11637,11651,11593,11613,11549,11686,11827,11974,12000,11997,12046,1.485,1.485,1.485,1.485,1.485,1.485,1.485,1.485,1.485,1.485,1.485,1.485,7758.922559,7836.363636,7845.791246,7806.734007,7820.20202,7777.104377,7869.360269,7964.309764,8063.299663,8080.808081,8078.787879,8111.784512
E05000155,13267,13354,13376,13369,13329,13299,13287,13318,13388,13350,13321,13298,8.71,8.71,8.71,8.71,8.71,8.71,8.71,8.71,8.71,8.71,8.71,8.71,1523.191734,1533.180253,1535.706085,1534.902411,1530.309989,1526.865672,1525.487945,1529.047072,1537.083812,1532.72101,1529.391504,1526.750861
E05000156,15029,15159,15265,15277,15353,15370,15451,15564,15674,15726,15765,15795,6.46,6.46,6.46,6.46,6.46,6.46,6.46,6.46,6.46,6.46,6.46,6.46,2326.470588,2346.594427,2363.003096,2364.860681,2376.625387,2379.256966,2391.795666,2409.287926,2426.315789,2434.365325,2440.402477,2445.04644
E05000157,10847,10935,10986,10898,10816,10719,10880,11070,11257,11401,11532,11670,2.428,2.428,2.428,2.428,2.428,2.428,2.428,2.428,2.428,2.428,2.428,2.428,4467.462932,4503.706755,4524.711697,4488.467875,4454.695222,4414.744646,4481.054366,4559.308072,4636.326194,4695.634267,4749.588138,4806.425041
E05000158,16540,16678,16862,16940,17006,17774,17865,18003,18156,18210,18256,18266,2.52,2.52,2.52,2.52,2.52,2.52,2.52,2.52,2.52,2.52,2.52,2.52,6563.492063,6618.253968,6691.269841,6722.222222,6748.412698,7053.174603,7089.285714,7144.047619,7204.761905,7226.190476,7244.444444,7248.412698
E05000159,14667,15052,15288,15437,15491,15638,15791,15981,16177,16348,16500,16650,4.173,4.173,4.173,4.173,4.173,4.173,4.173,4.173,4.173,4.173,4.173,4.173,3514.737599,3606.997364,3663.551402,3699.257129,3712.19746,3747.423916,3784.088186,3829.618979,3876.587587,3917.565301,3953.989935,3989.935298
E05000160,12835,12879,12937,12976,13017,12960,12961,13008,13063,13064,13047,13050,6.346,6.346,6.346,6.346,6.346,6.346,6.346,6.346,6.346,6.346,6.346,6.346,2022.53388,2029.467381,2038.606997,2044.7526,2051.213363,2042.231327,2042.388906,2049.795147,2058.462023,2058.619603,2055.94075,2056.413489
E05000161,18157,18292,18518,18802,18882,19074,19163,19288,19451,19471,19451,19400,2.277,2.277,2.277,2.277,2.277,2.277,2.277,2.277,2.277,2.277,2.277,2.277,7974.088713,8033.377251,8132.630654,8257.35617,8292.490119,8376.811594,8415.898112,8470.794906,8542.380325,8551.163812,8542.380325,8519.982433
E05000162,11769,11819,11838,11882,11852,11862,11856,11888,11921,12042,12164,12284,6.406,6.406,6.406,6.406,6.406,6.406,6.406,6.406,6.406,6.406,6.406,6.406,1837.18389,1844.989073,1847.955042,1854.823603,1850.140493,1851.70153,1850.764908,1855.760225,1860.911645,1879.800187,1898.844833,1917.577271
E05000163,14354,14485,14499,14469,14427,14345,14380,14444,14508,14465,14388,14315,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,5126.428571,5173.214286,5178.214286,5167.5,5152.5,5123.214286,5135.714286,5158.571429,5181.428571,5166.071429,5138.571429,5112.5
E05000164,16583,16734,16951,17182,17353,17557,17615,17710,17802,17753,17678,17584,2.381,2.381,2.381,2.381,2.381,2.381,2.381,2.381,2.381,2.381,2.381,2.381,6964.720706,7028.139437,7119.277614,7216.295674,7288.114238,7373.792524,7398.152037,7438.051239,7476.690466,7456.110878,7424.611508,7385.132297
E05000165,16603,16827,16970,17031,17137,17223,17298,17406,17533,17566,17567,17578,1.681,1.681,1.681,1.681,1.681,1.681,1.681,1.681,1.681,1.681,1.681,1.681,9876.859012,10010.11303,10095.18144,10131.46936,10194.52707,10245.68709,10290.30339,10354.55086,10430.10113,10449.7323,10450.32719,10456.87091
E05000166,16144,16290,16468,16637,16675,16647,16763,16913,17085,17070,17023,16951,2.62,2.62,2.62,2.62,2.62,2.62,2.62,2.62,2.62,2.62,2.62,2.62,6161.832061,6217.557252,6285.496183,6350,6364.503817,6353.816794,6398.091603,6455.343511,6520.992366,6515.267176,6497.328244,6469.847328
E05000167,17141,17363,17926,18043,18133,18181,18283,18418,18583,18617,18645,18640,3.644,3.644,3.644,3.644,3.644,3.644,3.644,3.644,3.644,3.644,3.644,3.644,4703.896817,4764.81888,4919.319429,4951.427003,4976.125137,4989.297475,5017.288694,5054.335895,5099.615807,5108.946213,5116.630077,5115.257958
E05000168,17554,17837,17991,18065,18507,18771,18959,19141,19335,19399,19451,19495,1.974,1.974,1.974,1.974,1.974,1.974,1.974,1.974,1.974,1.974,1.974,1.974,8892.60385,9035.967579,9113.981763,9151.469098,9375.379939,9509.118541,9604.356636,9696.555218,9794.832827,9827.254306,9853.596758,9875.886525
E05000169,16802,17072,17089,17117,17079,16998,17035,17080,17130,17149,17149,17118,2.167,2.167,2.167,2.167,2.167,2.167,2.167,2.167,2.167,2.167,2.167,2.167,7753.576373,7878.172589,7886.017536,7898.938625,7881.402861,7844.023996,7861.098293,7881.864329,7904.937702,7913.705584,7913.705584,7899.400092
E05000170,15479,15666,15737,15648,15653,15601,15689,15804,15897,16098,16307,16529,1.775,1.775,1.775,1.775,1.775,1.775,1.775,1.775,1.775,1.775,1.775,1.775,8720.56338,8825.915493,8865.915493,8815.774648,8818.591549,8789.295775,8838.873239,8903.661972,8956.056338,9069.295775,9187.042254,9312.112676
E05000171,14612,14648,14663,14629,14583,14623,14753,14901,15050,15277,15515,15774,2.232,2.232,2.232,2.232,2.232,2.232,2.232,2.232,2.232,2.232,2.232,2.232,6546.594982,6562.724014,6569.444444,6554.21147,6533.602151,6551.523297,6609.767025,6676.075269,6742.831541,6844.53405,6951.164875,7067.204301
